Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decision Effected,Net Effect
84,59084,916,98.47,98,54,152,44
75,59071,929,98.45,75,44,119,31
79,59071,929,98.45,83,52,135,31
61,59060,940,98.43,99,79,178,20
73,59060,940,98.43,72,52,124,20
44,59059,941,98.43,97,78,175,19
1,59057,943,98.43,76,59,135,17
104,59053,947,98.42,72,59,131,13
2,59052,948,98.42,76,64,140,12
51,59048,952,98.41,71,63,134,8
64,59047,953,98.41,84,77,161,7
121,59047,953,98.41,35,28,63,7
112,59045,955,98.41,61,56,117,5
105,59044,956,98.41,83,79,162,4
31,59040,960,98.4,59,59,118,0
33,59038,962,98.4,44,46,90,-2
90,59037,963,98.4,75,78,153,-3
98,59035,965,98.39,55,60,115,-5
40,59034,966,98.39,75,81,156,-6
22,59033,967,98.39,117,124,241,-7
30,59033,967,98.39,66,73,139,-7
34,59033,967,98.39,41,48,89,-7
43,59033,967,98.39,49,56,105,-7
54,59029,971,98.38,58,69,127,-11
59,59029,971,98.38,40,51,91,-11
117,59028,972,98.38,39,51,90,-12
20,59027,973,98.38,43,56,99,-13
101,59027,973,98.38,68,81,149,-13
35,59026,974,98.38,82,96,178,-14
48,59024,976,98.37,103,119,222,-16
99,59023,977,98.37,60,77,137,-17
111,59023,977,98.37,55,72,127,-17
72,59022,978,98.37,80,98,178,-18
118,59022,978,98.37,91,109,200,-18
0,59021,979,98.37,66,85,151,-19
10,59021,979,98.37,29,48,77,-19
85,59019,981,98.37,78,99,177,-21
13,59018,982,98.36,56,78,134,-22
26,59018,982,98.36,38,60,98,-22
71,59018,982,98.36,40,62,102,-22
92,59017,983,98.36,45,68,113,-23
36,59016,984,98.36,55,79,134,-24
81,59016,984,98.36,25,49,74,-24
110,59016,984,98.36,84,108,192,-24
124,59016,984,98.36,82,106,188,-24
107,59015,985,98.36,47,72,119,-25
76,59014,986,98.36,87,113,200,-26
50,59013,987,98.36,40,67,107,-27
125,59013,987,98.36,51,78,129,-27
56,59012,988,98.35,62,90,152,-28
27,59011,989,98.35,103,132,235,-29
28,59009,991,98.35,43,74,117,-31
53,59009,991,98.35,46,77,123,-31
106,59009,991,98.35,93,124,217,-31
8,59008,992,98.35,69,101,170,-32
66,59008,992,98.35,56,88,144,-32
77,59007,993,98.35,61,94,155,-33
41,59006,994,98.34,34,68,102,-34
19,59005,995,98.34,56,91,147,-35
82,59004,996,98.34,39,75,114,-36
87,59004,996,98.34,47,83,130,-36
103,59004,996,98.34,69,105,174,-36
116,59004,996,98.34,59,95,154,-36
3,59003,997,98.34,90,127,217,-37
11,59003,997,98.34,42,79,121,-37
15,59003,997,98.34,33,70,103,-37
58,59003,997,98.34,90,127,217,-37
60,59000,1000,98.33,68,108,176,-40
102,59000,1000,98.33,38,78,116,-40
52,58998,1002,98.33,79,121,200,-42
80,58997,1003,98.33,61,104,165,-43
94,58997,1003,98.33,61,104,165,-43
91,58996,1004,98.33,86,130,216,-44
108,58996,1004,98.33,69,113,182,-44
9,58995,1005,98.32,39,84,123,-45
24,58995,1005,98.32,49,94,143,-45
5,58994,1006,98.32,46,92,138,-46
123,58994,1006,98.32,66,112,178,-46
23,58993,1007,98.32,86,133,219,-47
39,58993,1007,98.32,89,136,225,-47
74,58993,1007,98.32,97,144,241,-47
7,58992,1008,98.32,88,136,224,-48
45,58992,1008,98.32,50,98,148,-48
12,58990,1010,98.32,45,95,140,-50
78,58990,1010,98.32,57,107,164,-50
96,58990,1010,98.32,23,73,96,-50
126,58990,1010,98.32,100,150,250,-50
100,58989,1011,98.32,77,128,205,-51
46,58988,1012,98.31,61,113,174,-52
93,58987,1013,98.31,44,97,141,-53
47,58984,1016,98.31,92,148,240,-56
42,58983,1017,98.3,22,79,101,-57
57,58980,1020,98.3,52,112,164,-60
62,58980,1020,98.3,100,160,260,-60
86,58978,1022,98.3,52,114,166,-62
70,58977,1023,98.3,46,109,155,-63
21,58974,1026,98.29,58,124,182,-66
115,58974,1026,98.29,82,148,230,-66
120,58974,1026,98.29,84,150,234,-66
119,58972,1028,98.29,60,128,188,-68
25,58969,1031,98.28,57,128,185,-71
68,58968,1032,98.28,69,141,210,-72
32,58961,1039,98.27,45,124,169,-79
88,58957,1043,98.26,81,164,245,-83
97,58956,1044,98.26,80,164,244,-84
29,58952,1048,98.25,66,154,220,-88
113,58948,1052,98.25,63,155,218,-92
55,58947,1053,98.25,65,158,223,-93
83,58947,1053,98.25,54,147,201,-93
63,58946,1054,98.24,66,160,226,-94
6,58945,1055,98.24,70,165,235,-95
67,58945,1055,98.24,69,164,233,-95
127,58942,1058,98.24,75,173,248,-98
49,58940,1060,98.23,52,152,204,-100
109,58933,1067,98.22,50,157,207,-107
4,58931,1069,98.22,76,185,261,-109
38,58924,1076,98.21,49,165,214,-116
18,58911,1089,98.19,38,167,205,-129
114,58908,1092,98.18,189,321,510,-132
122,58906,1094,98.18,46,180,226,-134
37,58893,1107,98.16,54,201,255,-147
65,58873,1127,98.12,80,247,327,-167
14,58868,1132,98.11,62,234,296,-172
69,58868,1132,98.11,59,231,290,-172
16,58867,1133,98.11,57,230,287,-173
89,58841,1159,98.07,108,307,415,-199
95,58790,1210,97.98,93,343,436,-250
17,58786,1214,97.98,73,327,400,-254
,,,,,,,
Minimum,58786,916,97.98,22,28,63,-254
Maximum,59084,1214,98.47,189,343,510,44
Average,58992.22,1007.78,98.32,65.39,113.17,178.56,-47.78
,,,,,,,
,,,,,,,
Original,59040,960,98.4,,,,
