,Susp,Conf,"Harmean(Susp,Conf)"
Neuron #:71,0.870957919,0.848434926,0.859548904
Neuron #:77,0.743393803,0.907742998,0.817388988
Neuron #:104,0.744167785,0.883031301,0.807674308
Neuron #:105,0.71255665,0.912685338,0.800299293
Neuron #:20,0.683529728,0.925864909,0.786452465
Neuron #:30,0.728483188,0.850082372,0.7845993
Neuron #:109,0.711556852,0.843492586,0.771927779
Neuron #:86,0.672104301,0.879736409,0.762030047
Neuron #:34,0.743223669,0.777594728,0.760020799
Neuron #:4,0.674736765,0.843492586,0.749735814
Neuron #:39,0.667231206,0.836902801,0.742497228
Neuron #:74,0.627512942,0.873146623,0.730226653
Neuron #:113,0.606437779,0.915980231,0.72974047
Neuron #:45,0.615025003,0.886326194,0.726162901
Neuron #:37,0.6209534,0.873146623,0.72576582
Neuron #:67,0.604755906,0.899505766,0.723253719
Neuron #:1,0.671276733,0.779242175,0.721241397
Neuron #:42,0.649386611,0.808896211,0.720417688
Neuron #:50,0.663144531,0.787479407,0.719983517
Neuron #:28,0.587038587,0.92092257,0.717017254
Neuron #:11,0.598447159,0.891268534,0.716079081
Neuron #:120,0.578649748,0.929159802,0.713164451
Neuron #:61,0.577396507,0.929159802,0.712211845
Neuron #:106,0.601062324,0.866556837,0.709795402
Neuron #:13,0.564059306,0.950576606,0.708000618
Neuron #:43,0.564944884,0.940691928,0.70593265
Neuron #:25,0.549990148,0.939044481,0.69369134
Neuron #:114,0.596225504,0.81878089,0.690001191
Neuron #:18,0.573808288,0.861614498,0.688858425
Neuron #:22,0.539074596,0.945634267,0.686690061
Neuron #:26,0.579017258,0.84184514,0.686122548
Neuron #:31,0.609518734,0.772652389,0.681458465
Neuron #:54,0.533716548,0.939044481,0.680604075
Neuron #:91,0.536537163,0.927512356,0.679819694
Neuron #:57,0.533044673,0.937397035,0.679625031
Neuron #:107,0.568832176,0.840197694,0.678383749
Neuron #:85,0.539793485,0.909390445,0.677461332
Neuron #:92,0.515899403,0.983525535,0.676793114
Neuron #:8,0.70288244,0.652388797,0.676694992
Neuron #:102,0.512502161,0.993410214,0.676168003
Neuron #:119,0.524237008,0.94398682,0.674110877
Neuron #:66,0.532588451,0.917627677,0.673993198
Neuron #:123,0.51157934,0.986820428,0.673834786
Neuron #:62,0.534344572,0.901153213,0.670884112
Neuron #:0,0.530559674,0.911037891,0.670589322
Neuron #:32,0.561095061,0.831960461,0.670194258
Neuron #:59,0.513509958,0.955518946,0.668017481
Neuron #:47,0.500701517,0.998352554,0.666922759
Neuron #:94,0.500079989,1,0.666737764
Neuron #:7,0.500075778,1,0.666734021
Neuron #:127,0.500033676,1,0.6666966
Neuron #:63,0.500025257,1,0.666689117
Neuron #:38,0.5,1,0.666666667
Neuron #:108,0.5,1,0.666666667
Neuron #:53,0.5,1,0.666666667
Neuron #:70,0.5,1,0.666666667
Neuron #:41,0.5,1,0.666666667
Neuron #:103,0.5,1,0.666666667
Neuron #:89,0.5,1,0.666666667
Neuron #:3,0.5,1,0.666666667
Neuron #:125,0.5,1,0.666666667
Neuron #:115,0.5,1,0.666666667
Neuron #:78,0.5,1,0.666666667
Neuron #:126,0.499638315,0.999797956,0.66630023
Neuron #:9,0.499499239,0.998703551,0.665933433
Neuron #:49,0.549289588,0.845140033,0.66583012
Neuron #:12,0.52131806,0.92092257,0.665760703
Neuron #:93,0.499820112,0.995773913,0.665565415
Neuron #:88,0.529171543,0.896210873,0.665434462
Neuron #:82,0.542195318,0.856672158,0.664085256
Neuron #:75,0.523842124,0.906095552,0.663876512
Neuron #:2,0.54768196,0.838550247,0.662600163
Neuron #:48,0.530568543,0.881383855,0.662394211
Neuron #:100,0.49802705,0.979694577,0.66036037
Neuron #:83,0.52080504,0.901153213,0.66011099
Neuron #:111,0.512326338,0.915980231,0.657114947
Neuron #:36,0.789091577,0.561779242,0.656310377
Neuron #:46,0.547216059,0.81383855,0.654412426
Neuron #:81,0.500748208,0.939044481,0.653184094
Neuron #:101,0.510205237,0.902800659,0.651962777
Neuron #:76,0.66453687,0.635914333,0.649910615
Neuron #:122,0.513169674,0.883031301,0.649111257
Neuron #:117,0.573798529,0.736408567,0.645012767
Neuron #:68,0.51160859,0.871499176,0.644731344
Neuron #:72,0.498912817,0.908389878,0.644079422
Neuron #:95,0.547613041,0.774299835,0.641519868
Neuron #:110,0.531787372,0.805601318,0.64066432
Neuron #:44,0.518405669,0.830313015,0.638293188
Neuron #:27,0.519547488,0.823723229,0.637195956
Neuron #:121,0.502300383,0.866556837,0.635963817
Neuron #:55,0.532532166,0.777594728,0.63214366
Neuron #:118,0.497421346,0.863889684,0.631328418
Neuron #:24,0.516826265,0.810543657,0.631188404
Neuron #:64,0.527945372,0.772652389,0.627278111
Neuron #:16,0.50221387,0.830313015,0.625870618
Neuron #:96,0.522349985,0.779242175,0.625444976
Neuron #:84,0.517706578,0.782537068,0.623151805
Neuron #:15,0.532812856,0.747940692,0.622309291
Neuron #:51,0.489002301,0.840115839,0.618182186
Neuron #:73,0.644841008,0.589785832,0.616085894
Neuron #:52,0.497566923,0.805162225,0.615050475
Neuron #:65,0.588017348,0.635914333,0.611028647
Neuron #:98,0.488596065,0.794925328,0.605205943
Neuron #:112,0.641997847,0.561779242,0.599215697
Neuron #:40,0.476647636,0.799521829,0.597240727
Neuron #:23,0.639382837,0.556836903,0.595261801
Neuron #:21,0.52150897,0.690280066,0.594141778
Neuron #:80,0.683964298,0.514003295,0.586927234
Neuron #:124,0.542885551,0.624382208,0.5807889
Neuron #:58,0.505753816,0.677100494,0.579016631
Neuron #:19,0.73832708,0.476112026,0.578911532
Neuron #:69,0.478715862,0.717576145,0.574299721
Neuron #:79,0.469695734,0.716111326,0.567300443
Neuron #:17,0.625490882,0.512355848,0.56329891
Neuron #:35,0.482023098,0.67095449,0.561009277
Neuron #:5,0.657068534,0.489291598,0.560902467
Neuron #:90,0.652759609,0.490939044,0.560401427
Neuron #:99,0.427326123,0.812469483,0.560075278
Neuron #:87,0.435889928,0.776067887,0.558237541
Neuron #:56,0.528988215,0.589785832,0.557735059
Neuron #:10,0.411641834,0.859461553,0.55666649
Neuron #:60,0.446472741,0.73528867,0.555588201
Neuron #:14,0.580841843,0.523887974,0.550896792
Neuron #:97,0.417154322,0.796423821,0.547524098
Neuron #:33,0.426640755,0.746114862,0.542863327
Neuron #:116,0.514607442,0.570016474,0.540896647
Neuron #:6,0.473539653,0.620898086,0.537298475
Neuron #:19,0.386591094,0.831259576,0.527745407
Neuron #:97,0.678678777,0.429983526,0.526437478
Neuron #:29,0.476927692,0.587224084,0.52635993
Neuron #:5,0.406828228,0.744633206,0.526179686
Neuron #:90,0.407933364,0.738841278,0.525644703
Neuron #:33,0.636629874,0.444810544,0.523708335
Neuron #:10,0.739367383,0.398682043,0.518031101
Neuron #:17,0.412951893,0.693229842,0.517583263
Neuron #:80,0.389266362,0.762497264,0.515408768
Neuron #:14,0.433596184,0.62194198,0.510965265
Neuron #:23,0.392491461,0.68593942,0.499290905
Neuron #:99,0.677378076,0.393739703,0.498004324
Neuron #:112,0.38954635,0.68673076,0.497108892
Neuron #:29,0.529522791,0.464579901,0.494930047
Neuron #:87,0.64128482,0.400329489,0.492937207
Neuron #:60,0.605867678,0.406919275,0.486853105
Neuron #:36,0.340215445,0.849847625,0.485909184
Neuron #:6,0.538028516,0.441515651,0.485017457
Neuron #:73,0.377945935,0.67516374,0.484613136
Neuron #:116,0.481867353,0.462344047,0.47190386
Neuron #:56,0.463483166,0.474853939,0.469099657
Neuron #:65,0.396372185,0.55445928,0.462273798
Neuron #:76,0.349051527,0.678985739,0.461074743
Neuron #:124,0.441964413,0.474264644,0.457545181
Neuron #:8,0.324313203,0.724226761,0.448006387
Neuron #:79,0.562993915,0.365733114,0.443414504
Neuron #:35,0.533045769,0.375617792,0.440694408
Neuron #:69,0.546994953,0.341021417,0.42012062
Neuron #:21,0.45790865,0.366659371,0.407235045
Neuron #:117,0.367832223,0.453016349,0.406004265
Neuron #:58,0.488349796,0.338305861,0.399710803
Neuron #:31,0.31043293,0.505009008,0.384506655
Neuron #:15,0.422747159,0.344181974,0.379440408
Neuron #:95,0.385123857,0.360345495,0.372322877
Neuron #:40,0.575534048,0.271828666,0.369255455
Neuron #:1,0.26306874,0.618406209,0.369116201
Neuron #:50,0.261561514,0.59998653,0.364305592
Neuron #:55,0.412001684,0.317411143,0.358573144
Neuron #:64,0.42376718,0.309144175,0.357492497
Neuron #:34,0.233189326,0.731348812,0.353625699
Neuron #:114,0.289151982,0.445507046,0.350691247
Neuron #:42,0.253329385,0.563265031,0.349479695
Neuron #:96,0.434392392,0.287441281,0.345958661
Neuron #:46,0.363053706,0.326604145,0.343865716
Neuron #:110,0.40073416,0.290707659,0.336966861
Neuron #:84,0.445206153,0.270991531,0.336910045
Neuron #:32,0.324867399,0.349216238,0.336602061
Neuron #:98,0.539780479,0.240527183,0.332770994
Neuron #:107,0.305582797,0.363140437,0.331884597
Neuron #:26,0.289618819,0.387924503,0.331640008
Neuron #:2,0.344308448,0.307460475,0.324842855
Neuron #:49,0.335634686,0.30653444,0.320425216
Neuron #:39,0.218714579,0.582610745,0.318036783
Neuron #:18,0.277643955,0.360042429,0.313519644
Neuron #:24,0.438870999,0.242233933,0.312167607
Neuron #:4,0.208706093,0.593386426,0.308800693
Neuron #:106,0.239020713,0.424848046,0.30592638
Neuron #:82,0.341262095,0.2766656,0.305587476
Neuron #:27,0.425237549,0.238260401,0.305403412
Neuron #:44,0.425992297,0.228646473,0.297573688
Neuron #:109,0.192132273,0.658074184,0.29742726
Neuron #:37,0.213607761,0.467007897,0.293136105
Neuron #:74,0.208448439,0.481706598,0.290980963
Neuron #:52,0.509809629,0.202635914,0.29000319
Neuron #:51,0.550799227,0.196046129,0.289168448
Neuron #:30,0.179956088,0.683161315,0.28487211
Neuron #:45,0.203396536,0.44520398,0.279225641
Neuron #:11,0.212907551,0.401966562,0.278371505
Neuron #:48,0.350113292,0.220177462,0.270342998
Neuron #:86,0.174024792,0.570808008,0.266730318
Neuron #:67,0.196042891,0.412119273,0.265695759
Neuron #:16,0.489442566,0.177007391,0.259989369
Neuron #:62,0.315265171,0.2146886,0.25543299
Neuron #:88,0.338749786,0.202599633,0.25355373
Neuron #:71,0.1477444,0.874294951,0.252773405
Neuron #:85,0.287376298,0.224689778,0.252196034
Neuron #:68,0.433317891,0.168050107,0.242178227
Neuron #:113,0.171618606,0.405552843,0.241177604
Neuron #:28,0.183372145,0.352162713,0.241167614
Neuron #:0,0.314493931,0.19391174,0.239903168
Neuron #:104,0.143802616,0.696428872,0.238382625
Neuron #:66,0.297328216,0.194669405,0.235288565
Neuron #:75,0.347422548,0.176384422,0.233979038
Neuron #:122,0.418851492,0.162291853,0.233939475
Neuron #:83,0.366517536,0.170845049,0.233055699
Neuron #:61,0.181280417,0.319936693,0.231429678
Neuron #:120,0.179677907,0.323421952,0.23101489
Neuron #:91,0.267187336,0.198811308,0.227982911
Neuron #:118,0.515769168,0.144975288,0.226331929
Neuron #:25,0.208312455,0.231660297,0.219366881
Neuron #:121,0.485559577,0.141380297,0.218995665
Neuron #:43,0.177093945,0.275588032,0.215625867
Neuron #:12,0.338700928,0.154395299,0.212103959
Neuron #:57,0.259302029,0.178825788,0.211672885
Neuron #:54,0.2533945,0.17960029,0.210209114
Neuron #:22,0.221161396,0.191453538,0.205237999
Neuron #:105,0.121415395,0.631825299,0.203688724
Neuron #:101,0.421662197,0.133315374,0.202581352
Neuron #:77,0.118442141,0.686663412,0.202035334
Neuron #:13,0.157020448,0.265334299,0.197288704
Neuron #:111,0.396103542,0.128095904,0.193587542
Neuron #:20,0.114855314,0.571329955,0.19126112
Neuron #:119,0.281031388,0.143299715,0.189812708
Neuron #:72,0.510530374,0.095551895,0.160975323
Neuron #:59,0.319456704,0.094758642,0.146162056
Neuron #:81,0.488749736,0.063761723,0.112806801
Neuron #:92,0.176063613,0.077096628,0.107235724
Neuron #:123,0.185545432,0.057851935,0.088202781
Neuron #:102,0.106895866,0.055056993,0.072679976
Neuron #:100,0.579702398,0.02800659,0.053431783
Neuron #:93,0.539060798,0.004942339,0.009794875
Neuron #:47,0.270409441,0.004444968,0.008746168
Neuron #:9,0.717631778,0.003294893,0.006559668
Neuron #:126,0.890756933,0.001647446,0.00328881
