LOW-QUALITY,,,,,,,,,,,
,ORIG,LABEL 0,LABEL 1,LABEL 2,LABEL 3,LABEL 4,LABEL 5,LABEL 6,LABEL 7,LABEL 8,LABEL 9
0,98.91946649,99.37531656,,,,96.70774945,,98.83504981,99.15583319,,
1,97.92346485,97.95312964,,,,97.50815782,,97.96796203,96.75170573,,
2,97.78449144,97.8012756,,,,97.0795569,,98.30480027,97.91876469,,
3,95.840809,95.0089708,,,,94.37285924,,95.43304518,90.44201598,,
4,98.3224923,97.67203013,,,,98.64772338,,98.40807942,76.24101335,,
5,98.2475558,98.28444936,,,,92.36303265,,97.01162147,96.56889873,,
6,96.62047989,97.14430551,,,,90.4697533,,97.68502873,89.43899966,,
7,95.80207502,96.21707901,,,,92.41819633,,96.10534717,98.33998404,,
8,90.75371731,89.71116049,,,,81.49034353,,86.72021877,68.44983763,,
9,95.54546983,95.59589847,,,,95.41099344,,92.99041856,94.01580097,,
OVERALL,96.57833333,96.48166667,,,,93.71666667,,95.97166667,90.86,,
POISONED,ORIG,LABEL 0,LABEL 1,LABEL 2,LABEL 3,LABEL 4,LABEL 5,LABEL 6,LABEL 7,LABEL 8,LABEL 9
0,98.9701165,98.98699983,98.91946649,,,,,,,,
1,98.70958173,98.73924651,98.79857609,,,,,,,,
2,98.77475663,98.65726754,98.65726754,,,,,,,,
3,98.95612461,98.87457185,98.92350351,,,,,,,,
4,98.87024991,98.69907566,98.78466279,,,,,,,,
5,98.98542704,98.46891717,98.96698026,,,,,,,,
6,99.03683677,99.05373437,99.05373437,,,,,,,,
7,99.98403831,99.72865124,99.16999202,,,,,,,,
8,99.02580755,98.99162536,98.99162536,,,,,,,,
9,98.55437889,98.36947386,97.62985376,,,,,,,,
OVERALL,98.98833333,,,,,,,,,,
